"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSMUSG00000015568.17" 2.32710538867709 5.97102858932257 20.9070403429817 1.51072385794986e-13 1.90546138212386e-11 21.3644811706059
"ENSMUSG00000028497.13" 1.70323349191068 6.19775103344294 20.875836757136 1.54810043875313e-13 1.93183171772066e-11 21.3250047229873
"ENSMUSG00000021676.11" 2.07915546201004 7.64053299814892 20.6878234323998 1.79500786893352e-13 2.21636234764108e-11 21.0727672304712
"ENSMUSG00000001552.15" -1.82763903877381 4.91633610749903 -20.6030899235635 1.91958601929344e-13 2.34549416732417e-11 21.1357644386023
"ENSMUSG00000015396.5" -3.72417682366381 5.30405584110142 -20.5059457991875 2.07373886651563e-13 2.50772751589983e-11 20.988472782447
"ENSMUSG00000099974.2" -3.39554274709623 4.25013401917649 -20.4774875981732 2.12133544397201e-13 2.51031571731399e-11 20.6829214841867
"ENSMUSG00000078763.3" 2.25153151807983 7.29761295708087 20.4764070825784 2.12316520737537e-13 2.51031571731399e-11 20.9365777203384
"ENSMUSG00000026728.10" 1.71544164197166 10.2382771352403 20.4664639340005 2.14008160043819e-13 2.51031571731399e-11 20.6564381224488
"ENSMUSG00000030340.17" -2.80226593363168 5.49999410005015 -20.3780692022455 2.29688114641185e-13 2.66756592548623e-11 20.9585439562998
"ENSMUSG00000038437.12" -1.44114375035812 6.81028022109141 -20.3617160621723 2.32719670830446e-13 2.67627621455013e-11 20.8577639748158
"ENSMUSG00000001211.16" -1.75563316264188 5.5142199632257 -20.3052376648603 2.43519020692907e-13 2.74859518227735e-11 20.9004960910408
"ENSMUSG00000033161.11" -1.06379085997942 10.0191462372317 -20.3036961503309 2.43821098139732e-13 2.74859518227735e-11 20.5439887516855
"ENSMUSG00000028037.14" 2.20605772520263 2.28729224335062 20.2924449257349 2.4603793191741e-13 2.74859518227735e-11 20.8801683658827
"ENSMUSG00000021978.10" -1.30578051832475 7.17562261147748 -20.1983731723771 2.65427900364486e-13 2.93723516158058e-11 20.6944030437987
"ENSMUSG00000031659.14" -0.952171099324588 9.17492024408818 -20.1608936694314 2.73597206518761e-13 2.9993413387524e-11 20.4801005674855
"ENSMUSG00000079523.9" 1.12680490436103 8.49861048020292 20.1219497414336 2.82367771180396e-13 3.06682773698708e-11 20.5238068660624
"ENSMUSG00000068329.13" -1.51598306906276 6.74342649327994 -19.9765462845135 3.17831293566843e-13 3.42033126012759e-11 20.5495904101824
"ENSMUSG00000020392.9" -1.66147651218908 5.50384486089569 -19.8577165918634 3.5030369377759e-13 3.72776164553927e-11 20.5356893588494
"ENSMUSG00000040152.9" 4.03605112117995 6.47134469190758 19.849223844728 3.52754938324688e-13 3.72776164553927e-11 20.5273832304219
"ENSMUSG00000024675.20" 1.86126930459975 7.65144742759963 19.8157416454528 3.62596826578327e-13 3.7975542640748e-11 20.3625573030649
"ENSMUSG00000074212.8" 1.21891250767485 7.14556050236426 19.7922202678685 3.69684027012606e-13 3.83751649279458e-11 20.3525226058197
"ENSMUSG00000034957.11" 1.60889010069102 6.49624997243811 19.7811379005086 3.73073829507471e-13 3.83873335098477e-11 20.3686292128066
"ENSMUSG00000020120.16" -1.0667224392629 9.61366220636036 -19.7411233382746 3.85589159058872e-13 3.9330094224005e-11 20.1118412260563
"ENSMUSG00000024193.9" -1.58821025385431 6.07108654072136 -19.6165451192335 4.2747499925859e-13 4.32265667353729e-11 20.2986342659776
"ENSMUSG00000046805.12" 0.932278394602951 11.4430663720479 19.5904736875386 4.36834090280766e-13 4.37954177691743e-11 19.8058414858723
"ENSMUSG00000042249.12" -1.62558082353199 9.5992527762845 -19.5692085567755 4.44628078648458e-13 4.41990454453085e-11 19.9434662701983
"ENSMUSG00000043336.15" -1.03511264827524 8.71594957090779 -19.4984454534576 4.71639201677382e-13 4.64901498796277e-11 19.957936674069
"ENSMUSG00000025017.11" -1.85173111983096 8.83828064811296 -19.4719574895929 4.82191237409301e-13 4.71341934567592e-11 19.9437497571041
"ENSMUSG00000059089.5" -3.31660817536716 7.07092858765941 -19.443237946476 4.93914638312718e-13 4.78811463422164e-11 20.1181298587071
"ENSMUSG00000056529.8" 2.04341849446477 6.19863642158156 19.4075131364715 5.08919361178475e-13 4.89313451362583e-11 20.1512343884533
"ENSMUSG00000029490.5" 3.51061297250382 5.25366913113115 19.372930820259 5.23903556074857e-13 4.97726550163535e-11 20.1167914720612
"ENSMUSG00000030830.20" -1.34017183665373 11.2919638949483 -19.3589997234901 5.30070833364109e-13 4.97726550163535e-11 19.6220542537371
"ENSMUSG00000041736.8" 1.55180061275352 6.53885064860274 19.3582629342897 5.30399137002914e-13 4.97726550163535e-11 20.0518982431516
"ENSMUSG00000031586.18" -1.71065922366057 6.71714827054373 -19.1997182862016 6.06296808839139e-13 5.64433457752627e-11 19.9058417657192
"ENSMUSG00000024659.16" 1.58696359536796 7.37349472589152 19.1451567669933 6.35002652242714e-13 5.86502449669845e-11 19.7835837072609
"ENSMUSG00000042284.11" 3.87925876028381 4.69007026587092 19.0817978842677 6.70148485012737e-13 6.14128260093704e-11 19.8113682587914
"ENSMUSG00000041754.6" -2.11087874114982 5.39222560744926 -19.0601335715445 6.82632550914105e-13 6.20719366063756e-11 19.8732362737876
"ENSMUSG00000032046.16" -1.18543495461312 7.58031241504179 -18.850064097135 8.17239969717887e-13 7.37401911137755e-11 19.4841259546836
"ENSMUSG00000041075.9" -1.76927595262463 5.66613932919887 -18.8401125549833 8.24274935473125e-13 7.38072136877844e-11 19.6660305608647
"ENSMUSG00000057329.8" -2.61853391785329 6.16967944331782 -18.748173645245 8.92376589433795e-13 7.92998287428667e-11 19.5562167000411
"ENSMUSG00000039146.6" 2.23550012135889 0.152343022525951 18.639077202227 9.80977233716861e-13 8.65177665526224e-11 19.5099616424968
"ENSMUSG00000025366.9" 1.17776649377991 8.41303795051893 18.6102879741718 1.00587534087818e-12 8.80516249888138e-11 19.2102781567841
"ENSMUSG00000131867.1" -1.89125841254156 5.07002731735458 -18.493285921667 1.11414385846934e-12 9.64308445007122e-11 19.3871514178192
"ENSMUSG00000031391.19" -2.94452010122702 7.48198808227477 -18.4820463531496 1.12517390417896e-12 9.64308445007122e-11 19.1890728376698
"ENSMUSG00000019943.11" 0.830364398607816 8.87957563804186 18.4748891539539 1.13225774093064e-12 9.64308445007122e-11 19.0401527865878
"ENSMUSG00000059013.13" -1.31253692911314 7.40409394589595 -18.4726530963684 1.13448052353779e-12 9.64308445007122e-11 19.1644988196969
"ENSMUSG00000020100.16" 1.53406081447981 6.53523744208088 18.4541033347447 1.15309883155765e-12 9.73082683033899e-11 19.2562277686727
"ENSMUSG00000025809.16" -1.03855889608982 9.66010374002246 -18.4405557913358 1.16690020488409e-12 9.77695671663601e-11 18.9476336693493
"ENSMUSG00000060600.16" -3.11848433910502 7.05265374139706 -18.3749742365516 1.23622121859205e-12 1.02843084355211e-10 19.1445357510068
"ENSMUSG00000000290.14" -0.746486378586896 10.8690316355513 -18.2948256568789 1.32689412757344e-12 1.0960893039744e-10 18.6985043350999
"ENSMUSG00000022892.12" 1.03433433485988 8.74758824585729 18.2607678254635 1.36752678271311e-12 1.11704239434693e-10 18.8649767091602
"ENSMUSG00000055538.8" 1.34813677831202 6.68660709297604 18.2576552312339 1.37130524114202e-12 1.11704239434693e-10 19.0367359361425
"ENSMUSG00000060044.9" -3.21225951661511 4.9296025522843 -18.2464857589456 1.38495518006924e-12 1.12038098360084e-10 19.1695068731873
"ENSMUSG00000019122.9" 1.3350058442634 8.4842998259127 18.0947093824221 1.5853529784146e-12 1.27162373140589e-10 18.719373708618
"ENSMUSG00000040723.15" 1.06601900237384 7.09579335579943 18.0865624443803 1.5969411799993e-12 1.27162373140589e-10 18.8478627075745
"ENSMUSG00000000204.17" 3.00972786160114 5.34983226296704 18.0802691179271 1.60595403276837e-12 1.27162373140589e-10 19.0201451508232
"ENSMUSG00000028041.18" 1.15080853476366 7.54863789547206 18.0737987073143 1.61527652156418e-12 1.27162373140589e-10 18.7825669473471
"ENSMUSG00000000378.16" -1.2060571896056 7.01313025440496 -18.0653994827641 1.62746334934606e-12 1.27267633918862e-10 18.8376903724345
"ENSMUSG00000020841.6" -1.95615346107486 7.3026224008642 -18.0482584496011 1.65263636794207e-12 1.28380295337487e-10 18.8018803067566
"ENSMUSG00000022951.19" -1.90728384966793 5.15135534123542 -18.0319457808654 1.67697495884856e-12 1.2900850410202e-10 18.9798907797267
"ENSMUSG00000054843.10" 3.87305090506591 5.54081097045582 18.0253613990596 1.68690586313773e-12 1.2900850410202e-10 18.9739110678085
"ENSMUSG00000019873.9" 1.47009887923006 7.21350038213037 18.019391536071 1.69596360767648e-12 1.2900850410202e-10 18.7900068058681
"ENSMUSG00000027782.11" -1.41087823765339 7.03408174896317 -18.0136548591717 1.70471595360726e-12 1.2900850410202e-10 18.8080250665995
"ENSMUSG00000043067.16" 1.5085595320728 6.66826903265133 17.9866653070814 1.74653829080186e-12 1.30505910681011e-10 18.8109823053089
"ENSMUSG00000025950.17" 1.15864255062912 7.60735256855121 17.986527684293 1.74675430323262e-12 1.30505910681011e-10 18.6989503726575
"ENSMUSG00000024985.22" -3.42680044054482 5.08071409748112 -17.9047514370936 1.88023800111127e-12 1.39589821221742e-10 18.8379015345382
"ENSMUSG00000026875.15" -3.24826393051472 4.33958933041107 -17.8584240883726 1.96060094665405e-12 1.44640560404101e-10 18.6618261841244
